name;code;description
Betriebsgebäude zur Schleuse;2443;
Bootshaus;2444;
Betriebsgebäude zur Seilbahn;2450;
Spannwerk zur Drahtseilbahn;2451;
Gebäude zum Parken;2460;
Parkhaus;2461;
Parkdeck;2462;
Garage;2463;
Fahrzeughalle;2464;
Tiefgarage;2465;
Gebäude zur Versorgung;2500;
Gebäude zur Energieversorgung;2501;
Gebäude zur Wasserversorgung;2510;
Wasserwerk;2511;
Pumpstation;2512;
Wasserbehälter;2513;
Gebäude zur Elektrizitätsversorgung;2520;
Elektrizitätswerk;2521;
Umspannwerk;2522;
Umformer;2523;
Reaktorgebäude;2527;
Turbinenhaus;2528;
Kesselhaus;2529;
Gebäude für Fernmeldewesen;2540;
Gebäude an unterirdischen Leitungen;2560;
Gebäude zur Gasversorgung;2570;
Gaswerk;2571;
Heizwerk;2580;
Gebäude zur Versorgungsanlage;2590;
Pumpwerk (nicht für Wasserversorgung);2591;
Gebäude zur Entsorgung;2600;
Gebäude zur Abwasserbeseitigung;2610;
Gebäude der Kläranlage;2611;
Toilette;2612;
Gebäude zur Abfallbehandlung;2620;
Müllbunker;2621;
Gebäude zur Müllverbrennung;2622;
Gebäude der Abfalldeponie;2623;
Gebäude für Land- und Forstwirtschaft;2700;
Land- und forstwirtschaftliches Betriebsgebäude;2720;
Scheune;2721;
Schuppen;2723;
Stall;2724;
Scheune und Stall;2726;
Stall für Tiergroßhaltung;2727;
Reithalle;2728;
Wirtschaftsgebäude;2729;
Almhütte;2732;
Jagdhaus, Jagdhütte;2735;
Treibhaus, Gewächshaus;2740;
Treibhaus;2741;
Gewächshaus, verschiebbar;2742;
Gebäude für öffentliche Zwecke;3000;
Verwaltungsgebäude;3010;
Parlament;3011;
Rathaus;3012;
Post;3013;
Zollamt;3014;
Gericht;3015;
Botschaft, Konsulat;3016;
Kreisverwaltung;3017;
Bezirksregierung;3018;
Finanzamt;3019;
Gebäude für Bildung und Forschung;3020;
Allgemein bildende Schule;3021;
Berufsbildende Schule;3022;
Hochschulgebäude (Fachhochschule, Universität);3023;
Forschungsinstitut;3024;
Gebäude für kulturelle Zwecke;3030;
Schloss;3031;
Theater, Oper;3032;
Konzertgebäude;3033;
Museum;3034;
Rundfunk, Fernsehen;3035;
Veranstaltungsgebäude;3036;
Bibliothek, Bücherei;3037;
Burg, Festung;3038;
Gebäude für religiöse Zwecke;3040;
Kirche;3041;
Synagoge;3042;
Kapelle;3043;
Gemeindehaus;3044;
Gotteshaus;3045;
Moschee;3046;
Tempel;3047;
Kloster;3048;
Gebäude für Gesundheitswesen;3050;
Krankenhaus;3051;
Heilanstalt, Pflegeanstalt, Pflegestation;3052;
Ärztehaus, Poliklinik;3053;
Rettungswache;3054;
Gebäude für soziale Zwecke;3060;
Jugendfreizeitheim;3061;
Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus;3062;
Seniorenfreizeitstätte;3063;
Obdachlosenheim;3064;
Kinderkrippe, Kindergarten, Kindertagesstätte;3065;
Asylbewerberheim;3066;
Gebäude für Sicherheit und Ordnung;3070;
Polizei;3071;
Feuerwehr;3072;
Kaserne;3073;
Schutzbunker;3074;
Justizvollzugsanstalt;3075;
Friedhofsgebäude;3080;
Trauerhalle;3081;
Krematorium;3082;
Empfangsgebäude;3090;
Bahnhofsgebäude;3091;
Flughafengebäude;3092;
Gebäude zum U-Bahnhof;3094;
Gebäude zum S-Bahnhof;3095;
Gebäude zum Busbahnhof;3097;
Empfangsgebäude Schifffahrt;3098;
Gebäude für öffentliche Zwecke mit Wohnen;3100;
Gebäude für Erholungszwecke;3200;
Gebäude für Sportzwecke;3210;
Sport-, Turnhalle;3211;
Gebäude zum Sportplatz;3212;
Badegebäude;3220;
Hallenbad;3221;
Gebäude im Freibad;3222;
Gebäude im Stadion;3230;
Gebäude für Kurbetrieb;3240;
Badegebäude für medizinische Zwecke;3241;
Sanatorium;3242;
Gebäude im Zoo;3260;
Empfangsgebäude des Zoos;3261;
Aquarium, Terrarium, Voliere;3262;
Tierschauhaus;3263;
Stall im Zoo;3264;
Gebäude im botanischen Garten;3270;
Empfangsgebäude des botanischen Gartens;3271;
Gewächshaus (Botanik);3272;
Pflanzenschauhaus;3273;
Gebäude für andere Erholungseinrichtung;3280;
Schutzhütte;3281;
Touristisches Informationszentrum;3290;
Nach Quellenlage nicht zu spezifizieren;9998;
